version:v1.0,,,,,,,,,,,,,,,,
Name (example: Chris Green) [displayName] *,User name (example: chris@contoso.com) [userPrincipalName] *,Initial password [passwordProfile] *,Block sign in (Yes/No) [accountEnabled] *,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Blanche Robel,robelb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Blanche,Robel,,,,,,,,,,,
Jovany Blanda,blandaj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jovany,Blanda,,,,,,,,,,,
Julianne Cassin,cassinj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Julianne,Cassin,,,,,,,,,,,
Neoma Johnston,johnstonn@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Neoma,Johnston,,,,,,,,,,,
Shyann Heaney,heaneys@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shyann,Heaney,,,,,,,,,,,
Zachariah Spencer,spencerz@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Zachariah,Spencer,,,,,,,,,,,
Hillary Gulgowski,gulgowskih@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hillary,Gulgowski,,,,,,,,,,,
Javonte Veum,veumj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Javonte,Veum,,,,,,,,,,,
Celestino Reynolds,reynoldsc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Celestino,Reynolds,,,,,,,,,,,
Jaren Altenwerth,altenwerthj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jaren,Altenwerth,,,,,,,,,,,
Hanna Marvin,marvinh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hanna,Marvin,,,,,,,,,,,
Nils Franecki,franeckin@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Nils,Franecki,,,,,,,,,,,
Liza Ledner,lednerl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Liza,Ledner,,,,,,,,,,,
Vladimir Marquardt,marquardtv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Vladimir,Marquardt,,,,,,,,,,,
Assunta Connelly,connellya@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Assunta,Connelly,,,,,,,,,,,
Eladio Ondricka,ondrickae@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Eladio,Ondricka,,,,,,,,,,,
Alysson Von,vona@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alysson,Von,,,,,,,,,,,
Zachariah Krajcik,krajcikz@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Zachariah,Krajcik,,,,,,,,,,,
Elias Swaniawski,swaniawskie@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Elias,Swaniawski,,,,,,,,,,,
Julius Leuschke,leuschkej@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Julius,Leuschke,,,,,,,,,,,
Donato Spinka,spinkad@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Donato,Spinka,,,,,,,,,,,
Clemmie Kirlin,kirlinc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Clemmie,Kirlin,,,,,,,,,,,
Delia Weber,weberd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Delia,Weber,,,,,,,,,,,
Trystan Batz,batzt@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Trystan,Batz,,,,,,,,,,,
Noemy Muller,mullern@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Noemy,Muller,,,,,,,,,,,
Pascale Lakin,lakinp@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Pascale,Lakin,,,,,,,,,,,
Carroll Hammes,hammesc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Carroll,Hammes,,,,,,,,,,,
Mary Nikolaus,nikolausm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mary,Nikolaus,,,,,,,,,,,
Rae Dibbert,dibbertr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rae,Dibbert,,,,,,,,,,,
Elmore VonRueden,vonruedene@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Elmore,VonRueden,,,,,,,,,,,
Deven Cartwright,cartwrightd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Deven,Cartwright,,,,,,,,,,,
Van Rosenbaum,rosenbaumv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Van,Rosenbaum,,,,,,,,,,,
Amber Parker,parkera@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Amber,Parker,,,,,,,,,,,
Imogene Runte,runtei@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Imogene,Runte,,,,,,,,,,,
Alvis Bechtelar,bechtelara@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alvis,Bechtelar,,,,,,,,,,,
Lavinia Walker,walkerl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lavinia,Walker,,,,,,,,,,,
Isom Wolff,wolffi@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Isom,Wolff,,,,,,,,,,,
Rolando Durgan,durganr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rolando,Durgan,,,,,,,,,,,
Adelbert Witting,wittinga@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Adelbert,Witting,,,,,,,,,,,
Celestino Smitham,smithamc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Celestino,Smitham,,,,,,,,,,,
Kameron Grimes,grimesk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kameron,Grimes,,,,,,,,,,,
Lavon Romaguera,romagueral@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lavon,Romaguera,,,,,,,,,,,
Rosalyn Rodriguez,rodriguezr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rosalyn,Rodriguez,,,,,,,,,,,
Stanley Spinka,spinkas@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Stanley,Spinka,,,,,,,,,,,
Jamir Dooley,dooleyj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jamir,Dooley,,,,,,,,,,,
Rebeka Marvin,marvinr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rebeka,Marvin,,,,,,,,,,,
Janice Weissnat,weissnatj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Janice,Weissnat,,,,,,,,,,,
Gerhard Rosenbaum,rosenbaumg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Gerhard,Rosenbaum,,,,,,,,,,,
Abigale Dickinson,dickinsona@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Abigale,Dickinson,,,,,,,,,,,
Kurtis OReilly,oreillyk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kurtis,OReilly,,,,,,,,,,,
Cristal Halvorson,halvorsonc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cristal,Halvorson,,,,,,,,,,,
Albin Morar,morara@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Albin,Morar,,,,,,,,,,,
Armani Daugherty,daughertya@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Armani,Daugherty,,,,,,,,,,,
Petra Lubowitz,lubowitzp@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Petra,Lubowitz,,,,,,,,,,,
Lizzie Fisher,fisherl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lizzie,Fisher,,,,,,,,,,,
Johnathon Miller,millerj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Johnathon,Miller,,,,,,,,,,,
Barry Gottlieb,gottliebb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Barry,Gottlieb,,,,,,,,,,,
Hyman Goyette,goyetteh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hyman,Goyette,,,,,,,,,,,
Lucius Kuvalis,kuvalisl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lucius,Kuvalis,,,,,,,,,,,
Vida Littel,littelv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Vida,Littel,,,,,,,,,,,
Eva Ortiz,ortize@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Eva,Ortiz,,,,,,,,,,,
Oral Dietrich,dietricho@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Oral,Dietrich,,,,,,,,,,,
Aimee Harvey,harveya@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Aimee,Harvey,,,,,,,,,,,
Amely Schimmel,schimmela@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Amely,Schimmel,,,,,,,,,,,
Caterina Herman,hermanc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Caterina,Herman,,,,,,,,,,,
Zack Schoen,schoenz@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Zack,Schoen,,,,,,,,,,,
Cory Gorczany,gorczanyc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cory,Gorczany,,,,,,,,,,,
Ricky Abernathy,abernathyr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ricky,Abernathy,,,,,,,,,,,
Raphaelle Nicolas,nicolasr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Raphaelle,Nicolas,,,,,,,,,,,
Viola Weimann,weimannv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Viola,Weimann,,,,,,,,,,,
Olaf Cremin,cremino@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Olaf,Cremin,,,,,,,,,,,
Danielle Hermann,hermannd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Danielle,Hermann,,,,,,,,,,,
Rickey Connelly,connellyr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rickey,Connelly,,,,,,,,,,,
Emilio Cartwright,cartwrighte@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Emilio,Cartwright,,,,,,,,,,,
Junior Waelchi,waelchij@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Junior,Waelchi,,,,,,,,,,,
Noemi Rosenbaum,rosenbaumn@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Noemi,Rosenbaum,,,,,,,,,,,
Luna Hamill,hamilll@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Luna,Hamill,,,,,,,,,,,
Zachery Lehner,lehnerz@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Zachery,Lehner,,,,,,,,,,,
Cordell Huel,huelc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cordell,Huel,,,,,,,,,,,
Isom Senger,sengeri@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Isom,Senger,,,,,,,,,,,
Garrett Howe,howeg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Garrett,Howe,,,,,,,,,,,
Domingo Rogahn,rogahnd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Domingo,Rogahn,,,,,,,,,,,
Jermain Bins,binsj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jermain,Bins,,,,,,,,,,,
Leila Yundt,yundtl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Leila,Yundt,,,,,,,,,,,
Joana Zieme,ziemej@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Joana,Zieme,,,,,,,,,,,
Haley Schmeler,schmelerh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Haley,Schmeler,,,,,,,,,,,
Brooke Carroll,carrollb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Brooke,Carroll,,,,,,,,,,,
Tracy Kris,krist@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tracy,Kris,,,,,,,,,,,
Cyril Hettinger,hettingerc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cyril,Hettinger,,,,,,,,,,,
Lurline Harvey,harveyl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lurline,Harvey,,,,,,,,,,,
Viviane Pagac,pagacv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Viviane,Pagac,,,,,,,,,,,
Margarita Cummerata,cummeratam@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Margarita,Cummerata,,,,,,,,,,,
Virginia Stoltenberg,stoltenbergv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Virginia,Stoltenberg,,,,,,,,,,,
Dixie Pfeffer,pfefferd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dixie,Pfeffer,,,,,,,,,,,
Cara Runte,runtec@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cara,Runte,,,,,,,,,,,
Eleonore Satterfield,satterfielde@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Eleonore,Satterfield,,,,,,,,,,,
Emanuel Fadel,fadele@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Emanuel,Fadel,,,,,,,,,,,
Celestine Gerhold,gerholdc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Celestine,Gerhold,,,,,,,,,,,
Chelsea Cole,colec@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Chelsea,Cole,,,,,,,,,,,
Matilda Altenwerth,altenwerthm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Matilda,Altenwerth,,,,,,,,,,,
Demarco Baumbach,baumbachd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Demarco,Baumbach,,,,,,,,,,,
Golden Orn,orng@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Golden,Orn,,,,,,,,,,,
Rosemarie Hickle,hickler@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rosemarie,Hickle,,,,,,,,,,,
Nella Hilpert,hilpertn@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Nella,Hilpert,,,,,,,,,,,
Kariane Goodwin,goodwink@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kariane,Goodwin,,,,,,,,,,,
Alva Kihn,kihna@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alva,Kihn,,,,,,,,,,,
Britney Hegmann,hegmannb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Britney,Hegmann,,,,,,,,,,,
Carole Schuster,schusterc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Carole,Schuster,,,,,,,,,,,
Paul Nienow,nienowp@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Paul,Nienow,,,,,,,,,,,
Kadin Lang,langk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kadin,Lang,,,,,,,,,,,
Cristian Hegmann,hegmannc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cristian,Hegmann,,,,,,,,,,,
Cynthia Will,willc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cynthia,Will,,,,,,,,,,,
Verla OConnell,oconnellv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Verla,OConnell,,,,,,,,,,,
Clinton Kovacek,kovacekc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Clinton,Kovacek,,,,,,,,,,,
Francis Adams,adamsf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Francis,Adams,,,,,,,,,,,
Elissa Anderson,andersone@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Elissa,Anderson,,,,,,,,,,,
Solon Ebert,eberts@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Solon,Ebert,,,,,,,,,,,
Jesse Shields,shieldsj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jesse,Shields,,,,,,,,,,,
Deon Crona,cronad@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Deon,Crona,,,,,,,,,,,
Sibyl Strosin,strosins@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Sibyl,Strosin,,,,,,,,,,,
Tate Eichmann,eichmannt@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tate,Eichmann,,,,,,,,,,,
Eunice Stanton,stantone@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Eunice,Stanton,,,,,,,,,,,
Agustina Grant,granta@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Agustina,Grant,,,,,,,,,,,
Mandy Kshlerin,kshlerinm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mandy,Kshlerin,,,,,,,,,,,
Laurie Strosin,strosinl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Laurie,Strosin,,,,,,,,,,,
Zita Willms,willmsz@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Zita,Willms,,,,,,,,,,,
Florencio Rath,rathf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Florencio,Rath,,,,,,,,,,,
Eleonore Nienow,nienowe@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Eleonore,Nienow,,,,,,,,,,,
Rhiannon Bayer,bayerr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rhiannon,Bayer,,,,,,,,,,,
Shawn Botsford,botsfords@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shawn,Botsford,,,,,,,,,,,
Carlos Goodwin,goodwinc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Carlos,Goodwin,,,,,,,,,,,
Wayne Streich,streichw@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Wayne,Streich,,,,,,,,,,,
Rico Will,willr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rico,Will,,,,,,,,,,,
Kristian Hahn,hahnk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kristian,Hahn,,,,,,,,,,,
Shawna Stark,starks@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shawna,Stark,,,,,,,,,,,
Erna Hansen,hansene@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Erna,Hansen,,,,,,,,,,,
Zaria Pfeffer,pfefferz@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Zaria,Pfeffer,,,,,,,,,,,
Santa Beahan,beahans@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Santa,Beahan,,,,,,,,,,,
Dangelo Satterfield,satterfieldd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dangelo,Satterfield,,,,,,,,,,,
Arnaldo Schultz,schultza@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Arnaldo,Schultz,,,,,,,,,,,
Janae Buckridge,buckridgej@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Janae,Buckridge,,,,,,,,,,,
Lenna Smith,smithl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lenna,Smith,,,,,,,,,,,
Elody Fisher,fishere@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Elody,Fisher,,,,,,,,,,,
Chad Kulas,kulasc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Chad,Kulas,,,,,,,,,,,
Hulda Tillman,tillmanh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hulda,Tillman,,,,,,,,,,,
Jazmyn Wintheiser,wintheiserj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jazmyn,Wintheiser,,,,,,,,,,,
Michale Barton,bartonm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Michale,Barton,,,,,,,,,,,
Tanya Bradtke,bradtket@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tanya,Bradtke,,,,,,,,,,,
Monique Ruecker,rueckerm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Monique,Ruecker,,,,,,,,,,,
Lon Gerlach,gerlachl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lon,Gerlach,,,,,,,,,,,
Modesta Zemlak,zemlakm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Modesta,Zemlak,,,,,,,,,,,
Cristal Donnelly,donnellyc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cristal,Donnelly,,,,,,,,,,,
Vincenza Daniel,danielv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Vincenza,Daniel,,,,,,,,,,,
Stone West,wests@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Stone,West,,,,,,,,,,,
Giovanny Conn,conng@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Giovanny,Conn,,,,,,,,,,,
Ahmad Blick,blicka@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ahmad,Blick,,,,,,,,,,,
Mose Stehr,stehrm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mose,Stehr,,,,,,,,,,,
Antonette Schneider,schneidera@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Antonette,Schneider,,,,,,,,,,,
Wilhelmine Dooley,dooleyw@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Wilhelmine,Dooley,,,,,,,,,,,
Toby Schultz,schultzt@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Toby,Schultz,,,,,,,,,,,
Leora Quitzon,quitzonl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Leora,Quitzon,,,,,,,,,,,
Hershel Roob,roobh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hershel,Roob,,,,,,,,,,,
Halle Stark,starkh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Halle,Stark,,,,,,,,,,,
Everardo Lynch,lynche@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Everardo,Lynch,,,,,,,,,,,
Maxime Blanda,blandam@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Maxime,Blanda,,,,,,,,,,,
Sheila Wehner,wehners@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Sheila,Wehner,,,,,,,,,,,
Annabell Walsh,walsha@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Annabell,Walsh,,,,,,,,,,,
Verla Hoppe,hoppev@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Verla,Hoppe,,,,,,,,,,,
Ryann Jaskolski,jaskolskir@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ryann,Jaskolski,,,,,,,,,,,
Reba Anderson,andersonr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Reba,Anderson,,,,,,,,,,,
Tre Schulist,schulistt@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tre,Schulist,,,,,,,,,,,
Olen Heidenreich,heidenreicho@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Olen,Heidenreich,,,,,,,,,,,
Judge Bosco,boscoj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Judge,Bosco,,,,,,,,,,,
Spencer Walter,walters@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Spencer,Walter,,,,,,,,,,,
Douglas Yost,yostd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Douglas,Yost,,,,,,,,,,,
Gabriel Lakin,laking@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Gabriel,Lakin,,,,,,,,,,,
Ernest Champlin,champline@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ernest,Champlin,,,,,,,,,,,
Stefanie OKon,okons@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Stefanie,OKon,,,,,,,,,,,
Una Bogisich,bogisichu@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Una,Bogisich,,,,,,,,,,,
Iliana Padberg,padbergi@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Iliana,Padberg,,,,,,,,,,,
Herminia Pacocha,pacochah@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Herminia,Pacocha,,,,,,,,,,,
Madonna Murphy,murphym@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Madonna,Murphy,,,,,,,,,,,
Rod Hoeger,hoegerr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rod,Hoeger,,,,,,,,,,,
Junius Dare,darej@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Junius,Dare,,,,,,,,,,,
Phoebe Fisher,fisherp@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Phoebe,Fisher,,,,,,,,,,,
Gerard Schmeler,schmelerg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Gerard,Schmeler,,,,,,,,,,,
Alec Reynolds,reynoldsa@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alec,Reynolds,,,,,,,,,,,
Lenora Franecki,franeckil@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lenora,Franecki,,,,,,,,,,,
Clarissa Pfeffer,pfefferc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Clarissa,Pfeffer,,,,,,,,,,,
Fernando Mills,millsf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Fernando,Mills,,,,,,,,,,,
Bruce Ondricka,ondrickab@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Bruce,Ondricka,,,,,,,,,,,
Betty Becker,beckerb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Betty,Becker,,,,,,,,,,,
Shakira Feil,feils@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shakira,Feil,,,,,,,,,,,
Regan DAmore,damorer@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Regan,DAmore,,,,,,,,,,,
Cordelia Predovic,predovicc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cordelia,Predovic,,,,,,,,,,,
Daphney Miller,millerd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Daphney,Miller,,,,,,,,,,,
Matilda Paucek,paucekm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Matilda,Paucek,,,,,,,,,,,
Alden Herzog,herzoga@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alden,Herzog,,,,,,,,,,,
Marcia Friesen,friesenm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Marcia,Friesen,,,,,,,,,,,
Caitlyn Fadel,fadelc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Caitlyn,Fadel,,,,,,,,,,,
Brannon Greenholt,greenholtb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Brannon,Greenholt,,,,,,,,,,,
Alexander Sawayn,sawayna@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alexander,Sawayn,,,,,,,,,,,
Madisen Langworth,langworthm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Madisen,Langworth,,,,,,,,,,,
Ford Mayer,mayerf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ford,Mayer,,,,,,,,,,,
Glenna Prohaska,prohaskag@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Glenna,Prohaska,,,,,,,,,,,
Adolphus Hahn,hahna@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Adolphus,Hahn,,,,,,,,,,,
Edwin Quitzon,quitzone@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Edwin,Quitzon,,,,,,,,,,,
Ana Wisoky,wisokya@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ana,Wisoky,,,,,,,,,,,
Loy Zemlak,zemlakl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Loy,Zemlak,,,,,,,,,,,
Jessyca Watsica,watsicaj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jessyca,Watsica,,,,,,,,,,,
Elena Gottlieb,gottliebe@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Elena,Gottlieb,,,,,,,,,,,
Enola Pacocha,pacochae@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Enola,Pacocha,,,,,,,,,,,
Lyric Kertzmann,kertzmannl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lyric,Kertzmann,,,,,,,,,,,
Teagan Buckridge,buckridget@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Teagan,Buckridge,,,,,,,,,,,
